date,cpi_index,monthly_inflation
2005-01-01,95.53749483282964,-0.0003339460107422143
2005-02-01,95.50559046755392,-0.0003339460107422143
2005-03-01,95.47369675661369,-0.0003339460107422143
2005-04-01,95.441813696451,-0.0003339460107422143
2005-05-01,95.40994128350907,-0.0003339460107422143
2005-06-01,95.3780795142323,-0.0003339460107422143
2005-07-01,95.34622838506627,-0.0003339460107422143
2005-08-01,95.31438789245776,-0.0003339460107422143
2005-09-01,95.28255803285474,-0.0003339460107422143
2005-10-01,95.25073880270635,-0.0003339460107422143
2005-11-01,95.21893019846294,-0.0003339460107422143
2005-12-01,95.18713221657602,-0.0003339460107422143
2006-01-01,95.2739502448031,0.000912077359674468
2006-02-01,95.36084745778814,0.000912077359674468
2006-03-01,95.44782392775376,0.000912077359674468
2006-04-01,95.53487972698846,0.000912077359674468
2006-05-01,95.62201492784668,0.000912077359674468
2006-06-01,95.70922960274882,0.000912077359674468
2006-07-01,95.79652382418138,0.000912077359674468
2006-08-01,95.88389766469693,0.000912077359674468
2006-09-01,95.97135119691424,0.000912077359674468
2006-10-01,96.05888449351832,0.000912077359674468
2006-11-01,96.14649762726044,0.000912077359674468
2006-12-01,96.23419067095827,0.000912077359674468
2007-01-01,96.39312926087585,0.0016515813019202241
2007-02-01,96.5523303507967,0.0016515813019202241
2007-03-01,96.71179437426089,0.0016515813019202241
2007-04-01,96.87152176552458,0.0016515813019202241
2007-05-01,97.03151295956107,0.0016515813019202241
2007-06-01,97.19176839206212,0.0016515813019202241
2007-07-01,97.35228849943901,0.0016515813019202241
2007-08-01,97.51307371882383,0.0016515813019202241
2007-09-01,97.67412448807062,0.0016515813019202241
2007-10-01,97.83544124575654,0.0016515813019202241
2007-11-01,97.99702443118315,0.0016515813019202241
2007-12-01,98.1588744843775,0.0016515813019202241
2008-01-01,98.36106569424737,0.002059836269842741
2008-02-01,98.56367338490477,0.002059836269842741
2008-03-01,98.76669841423194,0.002059836269842741
2008-04-01,98.9701416418782,0.002059836269842741
2008-05-01,99.17400392926362,0.002059836269842741
2008-06-01,99.37828613958264,0.002059836269842741
2008-07-01,99.58298913780776,0.002059836269842741
2008-08-01,99.78811379069317,0.002059836269842741
2008-09-01,99.99366096677844,0.002059836269842741
2008-10-01,100.19963153639216,0.002059836269842741
2008-11-01,100.4060263716557,0.002059836269842741
2008-12-01,100.61284634648682,0.002059836269842741
2009-01-01,100.96645956041968,0.0035145930840192463
2009-02-01,101.32131558090865,0.0035145930840192463
2009-03-01,101.67741877591304,0.0035145930840192463
2009-04-01,102.0347735287438,0.0035145930840192463
2009-05-01,102.39338423811739,0.0035145930840192463
2009-06-01,102.75325531821001,0.0035145930840192463
2009-07-01,103.11439119871186,0.0035145930840192463
2009-08-01,103.4767963248817,0.0035145930840192463
2009-09-01,103.8404751576016,0.0035145930840192463
2009-10-01,104.20543217343179,0.0035145930840192463
2009-11-01,104.57167186466577,0.0035145930840192463
2009-12-01,104.93919873938566,0.0035145930840192463
2010-01-01,104.98282352209559,0.00041571484472902043
2010-02-01,105.02646644027529,0.00041571484472902043
