date,monthly_return,fund,source
2013-11-01,0.015521900135927469,global,ACWI
2013-12-01,0.020692360153175215,global,ACWI
2014-01-01,-0.04633812513035651,global,ACWI
2014-02-01,0.052047261759573527,global,ACWI
2014-03-01,0.00570850079626406,global,ACWI
2014-04-01,0.011867918727676674,global,ACWI
2014-05-01,0.020057791417347204,global,ACWI
2014-06-01,0.01818195173505055,global,ACWI
2014-07-01,-0.014437475329812544,global,ACWI
2014-08-01,0.0257618448693977,global,ACWI
2014-09-01,-0.03315793163489955,global,ACWI
2014-10-01,0.012054361870124986,global,ACWI
2014-11-01,0.013755734060296065,global,ACWI
2014-12-01,-0.023576676156111587,global,ACWI
2015-01-01,-0.013162219886877935,global,ACWI
2015-02-01,0.05508385232539337,global,ACWI
2015-03-01,-0.014611717336348362,global,ACWI
2015-04-01,0.02865725886828341,global,ACWI
2015-05-01,0.0,global,ACWI
2015-06-01,-0.025783386261278185,global,ACWI
2015-07-01,0.008242227466106922,global,ACWI
2015-08-01,-0.06806820761819032,global,ACWI
2015-09-01,-0.034371719008330914,global,ACWI
2015-10-01,0.07656667562326458,global,ACWI
2015-11-01,-0.005338567583523024,global,ACWI
2015-12-01,-0.021057317059036573,global,ACWI
2016-01-01,-0.05302771828001662,global,ACWI
2016-02-01,-0.012485740424314606,global,ACWI
2016-03-01,0.07394620170822486,global,ACWI
2016-04-01,0.013378511482110778,global,ACWI
2016-05-01,0.003344604581898336,global,ACWI
2016-06-01,-0.0004970103167342144,global,ACWI
2016-07-01,0.037702255212645364,global,ACWI
2016-08-01,0.0034278173199284723,global,ACWI
2016-09-01,0.00939339979980125,global,ACWI
2016-10-01,-0.019119964824710456,global,ACWI
2016-11-01,0.010350230453181952,global,ACWI
2016-12-01,0.019622711687611094,global,ACWI
2017-01-01,0.029068941926656322,global,ACWI
2017-02-01,0.02512731397552792,global,ACWI
2017-03-01,0.01345725503506734,global,ACWI
2017-04-01,0.016123835514659568,global,ACWI
2017-05-01,0.022090802447674696,global,ACWI
2017-06-01,0.00787109254487306,global,ACWI
2017-07-01,0.027332517740843,global,ACWI
2017-08-01,0.004013048019787302,global,ACWI
2017-09-01,0.018801076305821507,global,ACWI
2017-10-01,0.021505244353067,global,ACWI
2017-11-01,0.020199316419059254,global,ACWI
2017-12-01,0.014503526260188693,global,ACWI
2018-01-01,0.057012042837187416,global,ACWI
2018-02-01,-0.04475082791184892,global,ACWI
2018-03-01,-0.014974506488137584,global,ACWI
2018-04-01,0.0040446792995803005,global,ACWI
2018-05-01,0.004723026255528007,global,ACWI
2018-06-01,-0.005852993521940242,global,ACWI
2018-07-01,0.030652137857605233,global,ACWI
2018-08-01,0.0069578471749902615,global,ACWI
2018-09-01,0.0060965347774391,global,ACWI
2018-10-01,-0.07433349144794965,global,ACWI
2018-11-01,0.015857063662488846,global,ACWI
2018-12-01,-0.07210129918941477,global,ACWI
2019-01-01,0.08042363329819757,global,ACWI
2019-02-01,0.024668408957384758,global,ACWI
2019-03-01,0.01576797056370305,global,ACWI
2019-04-01,0.03423426326184931,global,ACWI
2019-05-01,-0.06070780288512678,global,ACWI
2019-06-01,0.06490432587215911,global,ACWI
2019-07-01,0.0006783580875344697,global,ACWI
2019-08-01,-0.022098762234715852,global,ACWI
2019-09-01,0.022459794989570847,global,ACWI
2019-10-01,0.027389772329181827,global,ACWI
2019-11-01,0.023360110560924463,global,ACWI
2019-12-01,0.034419611785631465,global,ACWI
2020-01-01,-0.014384739667483215,global,ACWI
2020-02-01,-0.07489460986796648,global,ACWI
2020-03-01,-0.13409917166799534,global,ACWI
2020-04-01,0.09829003292508398,global,ACWI
2020-05-01,0.0509312978829195,global,ACWI
2020-06-01,0.029405794574079547,global,ACWI
2020-07-01,0.053580873953245955,global,ACWI
2020-08-01,0.06025492818731015,global,ACWI
2020-09-01,-0.029508065063526434,global,ACWI
2020-10-01,-0.022272249828770296,global,ACWI
2020-11-01,0.11760963629733578,global,ACWI
2020-12-01,0.04687268444792814,global,ACWI
2021-01-01,-0.0030865044724065482,global,ACWI
2021-02-01,0.0228883414412957,global,ACWI
2021-03-01,0.028537424259542865,global,ACWI
2021-04-01,0.042459209874917914,global,ACWI
2021-05-01,0.014719167134134459,global,ACWI
2021-06-01,0.012608875786011886,global,ACWI
2021-07-01,0.009091653443755954,global,ACWI
2021-08-01,0.021741200684306294,global,ACWI
2021-09-01,-0.042269696053929606,global,ACWI
2021-10-01,0.053943286688205916,global,ACWI
2021-11-01,-0.02307477227484578,global,ACWI
2021-12-01,0.03887853862488133,global,ACWI
2022-01-01,-0.045471558768240605,global,ACWI
2022-02-01,-0.03060329127503636,global,ACWI
2022-03-01,0.01941151997613444,global,ACWI
2022-04-01,-0.08067744041213398,global,ACWI
2022-05-01,0.004469582058079347,global,ACWI
